Image_IDs,Visible_Percent,Ground_Control,Satellite_Azimuth,Date,Time_UTC
20210111_184857_42_227a,100,TRUE,106,1/11/2021,48:57.4
20210111_184859_79_227a,100,TRUE,105.9,1/11/2021,48:59.8
20210112_182314_0f22,100,TRUE,100.5,1/12/2021,23:14.6
20210112_182315_0f22,100,TRUE,100.5,1/12/2021,23:15.6
20210113_175735_39_222b,100,TRUE,109.1,1/13/2021,57:35.4
20210113_175737_60_222b,99,TRUE,109.3,1/13/2021,57:37.6
20210114_184851_21_2413,100,TRUE,104.4,1/14/2021,48:51.2
20210114_184853_49_2413,100,TRUE,104.2,1/14/2021,48:53.5
20210115_182256_103b,100,TRUE,101.1,1/15/2021,22:56.6
20210115_182257_103b,100,TRUE,101.1,1/15/2021,22:57.6
20210115_182424_1014,100,TRUE,274.7,1/15/2021,24:24.6
20210115_182425_1014,100,TRUE,274.7,1/15/2021,24:25.6
20210116_180646_02_2251,100,TRUE,277.1,1/16/2021,06:46.0
20210116_180648_29_2251,100,TRUE,277.1,1/16/2021,06:48.3
20210116_182337_1009,100,TRUE,182.8,1/16/2021,23:37.6
20210116_182338_1009,100,TRUE,182.8,1/16/2021,23:38.6
20210116_185008_89_2401,100,TRUE,274.7,1/16/2021,50:08.9
20210116_185011_16_2401,100,TRUE,274.7,1/16/2021,50:11.2
20210120_182417_100c,100,TRUE,277.3,1/20/2021,24:17.9
20210120_182418_100c,100,TRUE,277.3,1/20/2021,24:18.9
20210121_175855_46_2235,100,TRUE,277.4,1/21/2021,58:55.5
20210121_180524_0e20,100,TRUE,271.3,1/21/2021,05:24.1
20210121_180525_0e20,100,TRUE,271.3,1/21/2021,05:25.1
20210121_182451_1012,100,TRUE,276.9,1/21/2021,24:51.2
20210121_182452_1012,100,TRUE,277.1,1/21/2021,24:52.2
20210121_185030_03_2405,100,TRUE,274.7,1/21/2021,50:30.0
20210121_185108_29_2414,100,TRUE,277.5,1/21/2021,51:08.3
20210121_185110_58_2414,100,TRUE,277.5,1/21/2021,51:10.6
20210123_190054_85_105a,61,TRUE,100.6,1/23/2021,00:54.9
20210124_182327_1002,100,TRUE,109.3,1/24/2021,23:27.2
20210124_182328_1002,100,TRUE,107.6,1/24/2021,23:28.2
20210124_190036_01_1058,100,TRUE,100.7,1/24/2021,00:36.0
20210124_190037_53_1058,97,TRUE,100.7,1/24/2021,00:37.5
20210126_190120_32_1061,100,TRUE,268.9,1/26/2021,01:20.3
20210126_190121_82_1061,100,TRUE,269.8,1/26/2021,01:21.8
20210126_190123_33_1061,100,TRUE,269.9,1/26/2021,01:23.3
20210201_175534_74_2212,100,TRUE,100.6,2/1/2021,55:34.7
20210201_175536_95_2212,100,TRUE,100.7,2/1/2021,55:37.0
20210201_180129_60_227e,100,TRUE,105.4,2/1/2021,01:29.6
20210201_180132_05_227e,100,TRUE,105.4,2/1/2021,01:32.1
